Age Mya,dC,Age kya,Age kya compressed,Plotting Age
586.1657614,-2.47,586165,224216,-4271
586.1316249,-2.39,586131,224203,-4258
585.8092247,-3.9,585809,224079,-4134
585.7068152,-4.19,585706,224040,-4095
585.4033798,-3.17,585403,223924,-3979
585.2820056,-0.67,585282,223878,-3933
585.118909,-1.72,585118,223815,-3870
584.78513,-2.36,584785,223688,-3743
584.3754921,-1.96,584375,223531,-3586
584.1327437,-2.77,584132,223438,-3493
584.0682637,-2.74,584068,223413,-3468
584.045506,-1.62,584045,223405,-3460
583.9886119,-0.54,583988,223383,-3438
583.8899954,-1.37,583889,223345,-3400
583.8406871,-1.78,583840,223326,-3381
583.7989647,-4.12,583798,223310,-3365
583.7496565,-4.22,583749,223291,-3346
583.6624188,-1.35,583662,223258,-3313
583.5903528,-0.89,583590,223231,-3286
583.5410446,-1.19,583541,223212,-3267
583.4575998,-2.24,583457,223180,-3235
583.3172609,-2.51,583317,223126,-3181
583.2869174,-2,583286,223114,-3169
583.2565738,-0.46,583256,223103,-3158
583.2300232,-0.81,583230,223093,-3148
582.8317642,-5.13,582831,222940,-2995
582.4259192,-3.92,582425,222785,-2840
581.5573352,0.06,581557,222453,-2508
581.4625116,-1.03,581462,222417,-2472
581.4132033,-1.02,581413,222398,-2453
581.3107939,-1.22,581310,222359,-2414
581.2045915,-0.84,581204,222318,-2373
581.1249396,-1.32,581124,222287,-2342
580.5901346,2.85,580590,222083,-2138
580.5104828,2.55,580510,222053,-2108
580.5028969,2.61,580502,222049,-2104
580.4118663,3.44,580411,222015,-2070
580.362558,3.11,580362,221996,-2051
580.1387744,3.6,580138,221910,-1965
580.0705014,3.75,580070,221884,-1939
580.0098143,3.6,580009,221861,-1916
579.9491272,3.86,579949,221838,-1893
579.8505107,3.93,579850,221800,-1855
579.4181151,4.65,579418,221635,-1690
578.894689,5.22,578894,221434,-1489
578.7998654,5.03,578799,221398,-1453
578.4698793,5.83,578469,221272,-1327
578.4281569,5.78,578428,221256,-1311
578.3674698,5.8,578367,221233,-1288
578.3067827,5.75,578306,221209,-1264
578.291611,5.82,578291,221204,-1259
578.2385097,5.62,578238,221183,-1238
578.1929944,5.48,578192,221166,-1221
578.1323073,5.5,578132,221143,-1198
578.0678273,5.55,578067,221118,-1173
577.7188765,4.48,577718,220985,-1040
577.6506035,3.99,577650,220959,-1014
577.5937094,4.71,577593,220937,-992
577.5368152,4.3,577536,220915,-970
577.5064717,4.33,577506,220903,-958
577.4344058,4.89,577434,220876,-931
577.2220009,4.52,577222,220795,-850
577.1840715,4.42,577184,220780,-835
577.1271773,4.16,577127,220758,-813
577.0778691,4.23,577077,220739,-794
577.0323538,4.11,577032,220722,-777
576.9071866,4.21,576907,220674,-729
576.8351207,4.29,576835,220647,-702
576.7744336,4.28,576774,220623,-678
576.7023677,3.49,576702,220596,-651
576.3913463,4.52,576391,220477,-532
576.213078,4.87,576213,220409,-464
575.8148189,4.93,575814,220256,-311
575.742753,4.61,575742,220229,-284
575.6858589,4.81,575685,220207,-262
575.5910353,4.72,575591,220171,-226
575.5227623,5.01,575522,220145,-200
575.4317317,4.95,575431,220110,-165
575.3862163,5.08,575386,220093,-148
575.3331151,5.22,575333,220072,-127
575.1776045,5.21,575177,220013,-68
575.0865738,4.89,575086,219978,-33
575.0183008,4.98,575018,219952,-7
574.9727855,5.05,574972,219934,11
574.9196843,5.24,574919,219914,31
574.8589972,5.12,574858,219891,54
574.7793454,5.11,574779,219860,85
574.741416,4.88,574741,219846,99
574.5176323,5.45,574517,219760,185
574.468324,5.15,574468,219741,204
574.3962581,5.45,574396,219714,231
574.339364,4.27,574339,219692,253
574.2976416,4.15,574297,219676,269
574.2445404,4.31,574244,219656,289
574.1724745,4.4,574172,219628,317
574.0890297,4.58,574089,219596,349
573.9486908,4.34,573948,219542,403
573.869039,4.73,573869,219512,433
573.8500743,4.4,573850,219505,440
573.7780084,4.96,573778,219477,468
573.7135283,4.92,573713,219453,492
573.6718059,4.54,573671,219436,509
573.6187047,4.76,573618,219416,529
573.5580176,4.83,573558,219393,552
573.4707799,4.11,573470,219360,585
573.4366435,4.84,573436,219347,598
573.3190622,4.42,573319,219302,643
573.2507892,4.62,573250,219275,670
573.0876927,4.83,573087,219213,732
572.8335655,4.42,572833,219116,829
572.7804643,4.38,572780,219096,849
572.7046054,4.39,572704,219067,878
572.6932266,4.47,572693,219062,883
572.4277205,4.09,572427,218961,984
572.3177252,4.34,572317,218919,1026
571.7222331,3.05,571722,218691,1254
571.6084448,3.14,571608,218647,1298
571.5591365,2.31,571559,218629,1316
571.0205385,0.95,571020,218422,1523
570.7474466,0.93,570747,218318,1627
570.1822981,0.65,570182,218102,1843
569.6968013,-0.27,569696,217916,2029
569.4806035,-0.31,569480,217833,2112
568.9040761,-4.1,568904,217613,2332
568.8206314,-4.37,568820,217581,2364
568.7637372,-4.89,568763,217559,2386
568.7333937,-4.99,568733,217548,2397
568.7030501,-5.25,568703,217536,2409
568.6575348,-5.52,568657,217519,2426
568.5740901,-5.95,568574,217487,2458
568.50961,-5.7,568509,217462,2483
568.4640947,-5.97,568464,217445,2500
568.3692711,-6.58,568369,217408,2537
568.3161699,-7.28,568316,217388,2557
568.244104,-7.32,568244,217361,2584
568.1872098,-6.3,568187,217339,2606
568.1379016,-6.48,568137,217320,2625
568.1037651,-6.65,568103,217307,2638
568.043078,-6.75,568043,217284,2661
567.9899768,-6.78,567989,217263,2682
567.9596332,-7.15,567959,217252,2693
567.8837744,-7.21,567883,217223,2722
567.8344661,-7.37,567834,217204,2741
567.7699861,-7.56,567769,217179,2766
